AphiaID,rank,scientificname
117902,Species,Sertularella gayi
531364,Species,Animoceradocus semiserratus
138818,Species,Astarte borealis
131160,Species,Prionospio multibranchiata
131288,Species,Eurysyllis tuberculata
140405,Species,Ocenebra erinaceus
111706,Species,Crisidia cornuta
1614,Family,Sertulariidae
129290,Genus,Diplocirrus
834020,Species,Bugulina turbinata
101383,Family,Gammaridae
147026,Species,Mysta picta
148603,Species,Monocorophium sextonae
130639,Species,Eulalia viridis
135085,Genus,Caryophyllia
129566,Genus,Hydroides
107217,Species,Anapagurus hyndmanni
131513,Species,Phisidia aurea
130113,Species,Pherusa plumosa
134311,Species,Tethya aurantium
140287,Species,Myrtea spinifera
130071,Species,Lysidice ninetta
111696,Species,Crisia eburnea
131471,Species,Amaeana trilobata
120,Family,Hydrobiidae
138590,Genus,Gibbula
117386,Species,Obelia dichotoma
397383,Species,Crassicorophium crassicorne
131489,Species,Eupolymnia nebulosa
130989,Species,Filograna implexa
131431,Species,Syllis garciai
130330,Species,Rhodine gracilior
107302,Species,Ebalia tumefacta
138824,Species,Astarte sulcata
854014,Genus,Cylista
129520,Genus,Sabellaria
136021,Genus,Golfingia
111196,Species,Callopora dumerilii
153552,Species,Tectura virginea
129241,Genus,Caulleriella
131118,Species,Dipolydora flava
129549,Genus,Sabella
129229,Genus,Chaetopterus
140271,Species,Loligo vulgaris
111464,Species,Rhynchozoon bispinosum
120120,Species,Mysis relicta
101871,Species,Pseudoprotella phasma
130523,Species,Orbinia sertulata
129249,Genus,Tharyx
129792,Species,Eclysippe vanelli
111354,Species,Electra monostachys
124394,Species,Echinocardium flavescens
238104,Species,Ecrobia ventrosa
1133,Order,Tanaidacea
123083,Class,Holothuroidea
1474372,Species,Paraleptopentacta elongata
116999,Genus,Aglaophenia
138211,Genus,Mya
196385,Species,Polycirrus norvegicus
129784,Species,Amphicteis gunneri
141439,Species,Abra tenuis
103579,Species,Diplosoma listerianum
152905,Species,Mendicula ferruginosa
140472,Species,Musculus discors
467108,Species,Puellina (Cribrilaria) innominata
131129,Species,Laonice sarsi
130044,Species,Schistomeringos neglecta
102963,Species,Harpinia crenulata
111257,Species,Cellaria fistulosa
133147,Species,Raspailia (Clathriodendron) hispida
102831,Species,Maerella tenuimana
142820,Species,Prostheceraeus vittatus
117644,Species,Hydractinia echinata
131402,Species,Streptosyllis websteri
132277,Species,Clathrina coriacea
117402,Species,Calycella syringa
124685,Species,Neopentadactyla mixta
102064,Species,Argissa hamatipes
117285,Species,Aglaophenia tubulifera
1603,Family,Tubulariidae
100681,Family,Sagartiidae
111399,Species,Hippothoa divaricata
130590,Species,Pectinaria (Amphictene) auricoma
130604,Species,Pholoe pallida
107292,Species,Goneplax rhomboides
107551,Species,Crangon allmanni
131131,Species,Malacoceros fuliginosus
236495,Species,Apolochus neapolitanus
131507,Species,Nicolea venustula
19494,Subclass,Hydroidolina
131184,Species,Spio goniocephala
139012,Species,Parvicardium scabrum
123426,Genus,Echinocardium
111495,Species,Escharella variolosa
106733,Family,Galatheidae
135306,Species,Aurelia aurita
129555,Genus,Scalibregma
884702,Species,Kirkegaardia dorsobranchialis
106760,Family,Majidae
103929,Species,Styela clava
120136,Species,Neomysis integer
117258,Genus,Tubularia
130360,Species,Nephtys hystricis
1059646,Species,Centraloecetes kroyeranus
111124,Species,Porella compressa
106230,Species,Chthamalus montagui
100833,Species,Urticina eques
129620,Genus,Prionospio
131834,Genus,Haliclona
117093,Genus,Eudendrium
129959,Species,Cirratulus cirratus
129525,Genus,Chone
118278,Family,Gnathiidae
124418,Species,Spatangus purpureus
130613,Species,Eteone flava
890057,Species,Tritia nitida
130920,Species,Jasmineira caudata
138223,Genus,Modiolus
140482,Species,Mytilus trossulus
103674,Species,Polyclinum aurantium
107079,Genus,Upogebia
140266,Species,Melarhaphe neritoides
141883,Species,Diplodonta rotundata
141934,Species,Venus casina
102087,Species,Corophium arenarium
102807,Species,Eriopisa elongata
130866,Species,Sabellaria alveolata
131327,Species,Odontosyllis fulgurans
234161,Species,Axinulus croulinensis
103538,Genus,Polycarpa
129677,Genus,Sphaerosyllis
111285,Species,Turbicellepora avicularis
130888,Species,Chone duneri
138823,Species,Astarte montagui
140170,Species,Lacuna vincta
103788,Species,Molgula manhattensis
111186,Species,Amphiblestrum auritum
131774,Genus,Axinella
140627,Species,Acanthodoris pilosa
102462,Species,Leucothoe lilljeborgi
107347,Species,Maja brachydactyla
867492,Species,Hermania scabra
134204,Species,Polymastia mamillaris
336908,Species,Glycera fallax
131174,Species,Scolelepis korsuni
160539,Species,Ensis magnus
